"X1","X2","X3","X4"
"t_ERIE_09","0.000","0.992","0.008"
"t_ERIE_10","0.000","0.974","0.026"
"t_ERIE_11","0.000","1.000","0.000"
"t_ERIE_12","0.000","0.645","0.355"
"t_ERIE_13","0.000","0.999","0.001"
"t_LSC_01","0.000","0.000","1.000"
"t_LSC_02","0.000","0.000","1.000"
"t_LSC_03","0.000","0.000","1.000"
"t_LSC_04","0.000","0.000","1.000"
"t_LSC_05","0.000","0.000","1.000"
"t_LSC_06","0.000","0.000","1.000"
"t_LSC_07","0.000","0.000","1.000"
"t_LSC_08","0.000","0.000","1.000"
"t_LSC_09","0.000","0.000","1.000"
"t_LSC_10","0.000","0.000","1.000"
"t_LSC_11","0.000","0.000","1.000"
"t_LSC_12","0.000","0.000","1.000"
"t_LSC_13","0.000","0.000","1.000"
"t_LSC_14","0.000","0.000","1.000"
"t_CRO_01","0.000","1.000","0.000"
"t_CRO_02","0.000","1.000","0.000"
"t_CRO_03","0.000","1.000","0.000"
"t_CRO_04","0.000","1.000","0.000"
"t_CRO_05","0.000","1.000","0.000"
"t_CRO_06","0.000","1.000","0.000"
"t_CRO_07","0.000","1.000","0.000"
"t_CRO_08","0.000","1.000","0.000"
"t_CRO_09","0.000","1.000","0.000"
"t_CRO_10","0.000","1.000","0.000"
"t_CRO_11","0.000","1.000","0.000"
"t_CRO_12","0.000","1.000","0.000"
"t_CRO_13","0.000","1.000","0.000"
"t_CRO_14","0.000","1.000","0.000"
"t_CRO_15","0.000","1.000","0.000"
"t_CRO_16","0.000","1.000","0.000"
"t_CRO_17","0.000","1.000","0.000"
"t_CRO_18","0.000","1.000","0.000"
